iter	Passed	Remaining
736	3563	1271
737	3567	1266
738	3575	1262
739	3581	1258
740	3586	1253
741	3593	1249
742	3596	1244
743	3600	1238
744	3607	1234
745	3611	1229
746	3614	1224
747	3620	1219
748	3625	1214
749	3629	1209
750	3634	1204
751	3640	1200
752	3644	1195
753	3648	1190
754	3656	1186
755	3660	1181
756	3665	1176
757	3671	1172
758	3674	1166
759	3677	1161
760	3684	1157
761	3688	1152
762	3692	1146
763	3696	1141
764	3702	1137
765	3705	1132
766	3708	1126
767	3715	1122
768	3720	1117
769	3723	1112
770	3727	1107
771	3733	1102
772	3736	1097
773	3740	1092
774	3746	1087
775	3753	1083
776	3757	1078
777	3764	1074
778	3768	1069
779	3778	1065
780	3783	1060
781	3788	1056
782	3795	1051
783	3798	1046
784	3802	1041
785	3808	1036
786	3813	1031
787	3816	1026
788	3820	1021
789	3826	1017
790	3830	1012
791	3834	1006
792	3839	1002
793	3844	997
794	3847	992
795	3851	987
796	3858	982
797	3862	977
798	3865	972
799	3871	967
800	3875	962
801	3879	957
802	3883	952
803	3889	948
804	3892	943
805	3896	937
806	3901	933
807	3907	928
808	3911	923
809	3915	918
810	3922	914
811	3925	908
812	3929	903
813	3935	899
814	3939	894
815	3944	889
816	3951	885
817	3956	880
818	3975	878
819	3985	874
820	3998	871
821	4003	866
822	4008	862
823	4015	857
824	4018	852
825	4022	847
826	4027	842
827	4032	837
828	4035	832
829	4041	827
830	4046	823
831	4050	817
832	4054	812
833	4058	807
834	4064	803
835	4068	798
836	4072	793
837	4078	788
838	4082	783
839	4086	778
840	4089	773
841	4096	768
842	4100	763
843	4103	758
844	4109	753
845	4115	749
846	4120	744
847	4130	740
848	4136	735
849	4145	731
850	4161	728
851	4165	723
852	4177	719
853	4181	714
854	4261	722
855	4286	721
856	4310	719
857	4317	714
858	4327	710
859	4332	705
860	4370	705
861	4378	701
862	4384	696
863	4394	691
864	4399	686
865	4408	682
866	4414	677
867	4424	672
868	4428	667
869	4433	662
870	4441	657
871	4445	652
872	4452	647
873	4457	642
874	4461	637
875	4465	632
876	4472	627
877	4476	621
878	4480	616
879	4485	611
880	4489	606
881	4493	601
882	4500	596
883	4504	591
884	4508	585
885	4515	581
886	4519	575
887	4524	570
888	4534	566
889	4538	560
890	4547	556
891	4552	551
892	4556	545
893	4563	541
894	4567	535
895	4571	530
896	4577	525
897	4582	520
898	4586	515
899	4593	510
900	4597	505
901	4600	499
902	4607	494
903	4611	489
904	4615	484
905	4622	479
906	4628	474
907	4633	469
908	4641	464
909	4645	459
910	4649	454
911	4656	449
912	4659	444
913	4663	438
914	4668	433
915	4673	428
916	4677	423
917	4685	418
918	4689	413
